epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,3006.97,0.85524,0.42147,0.8836,0.79985,0.89536,0.81054,0.57628,1.21332,0.69842,1.07595,0.000346625,0.000346625,0.000346625
75,3047.38,0.83457,0.41709,0.89258,0.80561,0.89644,0.81811,0.58278,1.2226,0.69438,1.07495,0.00033425,0.00033425,0.00033425
76,3087.64,0.836,0.44363,0.88512,0.79937,0.86767,0.80124,0.56723,1.22964,0.71945,1.07341,0.000321875,0.000321875,0.000321875
77,3127.98,0.82475,0.4121,0.88687,0.80386,0.8834,0.81114,0.56701,1.22604,0.71076,1.07291,0.0003095,0.0003095,0.0003095
78,3167.41,0.80074,0.67412,0.89146,0.80709,0.8814,0.80933,0.57257,1.24079,0.72794,1.07268,0.000297125,0.000297125,0.000297125
79,3208.71,0.82958,0.4235,0.87996,0.77209,0.87135,0.80354,0.57414,1.20529,0.77373,1.05552,0.00028475,0.00028475,0.00028475
80,3248.92,0.81614,0.41218,0.8706,0.79111,0.87216,0.80921,0.57496,1.19696,0.73839,1.05593,0.000272375,0.000272375,0.000272375
81,3288.69,0.80146,0.4042,0.87889,0.7935,0.8834,0.8154,0.58233,1.22303,0.7261,1.07097,0.00026,0.00026,0.00026
82,3329.31,0.83406,0.42561,0.8906,0.79848,0.89872,0.82504,0.59439,1.20971,0.70653,1.07121,0.000247625,0.000247625,0.000247625
83,3370.58,0.8266,0.41353,0.87725,0.79187,0.90032,0.82308,0.59419,1.20361,0.68832,1.06668,0.00023525,0.00023525,0.00023525
84,3412.2,0.82939,0.41267,0.88046,0.8061,0.89545,0.82553,0.58255,1.2009,0.67888,1.06359,0.000222875,0.000222875,0.000222875
85,3452.1,0.81636,0.40917,0.88267,0.80229,0.90965,0.82897,0.58092,1.2064,0.67881,1.06846,0.0002105,0.0002105,0.0002105
86,3493.27,0.82925,0.41104,0.87969,0.81692,0.90696,0.82446,0.56106,1.22938,0.68073,1.07757,0.000198125,0.000198125,0.000198125
87,3533.67,0.82222,0.40602,0.88193,0.80624,0.89845,0.82464,0.56415,1.21711,0.675,1.07074,0.00018575,0.00018575,0.00018575
88,3573.98,0.80481,0.40724,0.88106,0.80817,0.89514,0.82439,0.58886,1.21338,0.67309,1.07081,0.000173375,0.000173375,0.000173375
89,3615.59,0.79348,0.39598,0.86283,0.82676,0.87678,0.8195,0.58795,1.21531,0.68443,1.07182,0.000161,0.000161,0.000161
90,3655.6,0.77737,0.39418,0.8738,0.82623,0.87968,0.826,0.59013,1.21285,0.68184,1.07199,0.000148625,0.000148625,0.000148625
91,3692.67,0.80747,0.40808,0.88179,0.79746,0.90549,0.81973,0.57497,1.21415,0.682,1.07389,0.00013625,0.00013625,0.00013625
92,3729.96,0.78796,0.40493,0.89353,0.81492,0.88237,0.82333,0.58495,1.22517,0.6799,1.08051,0.000123875,0.000123875,0.000123875
93,3767.37,0.80565,0.40221,0.87218,0.81487,0.87617,0.81948,0.58006,1.24023,0.68491,1.08748,0.0001115,0.0001115,0.0001115
94,3804.5,0.78321,0.39149,0.89321,0.79922,0.8994,0.82007,0.58156,1.24186,0.68415,1.0872,9.9125e-05,9.9125e-05,9.9125e-05
95,3841.72,0.76613,0.37888,0.88216,0.79313,0.90148,0.81811,0.58222,1.21773,0.68784,1.07672,8.675e-05,8.675e-05,8.675e-05
96,3879.09,0.78199,0.38228,0.87786,0.78994,0.8805,0.81259,0.57783,1.21935,0.72481,1.07572,7.4375e-05,7.4375e-05,7.4375e-05
97,3916.15,0.78389,0.3853,0.88658,0.78461,0.89947,0.81651,0.57935,1.22932,0.6928,1.07857,6.2e-05,6.2e-05,6.2e-05
98,3953.37,0.77492,0.37899,0.87985,0.81934,0.86547,0.81737,0.57882,1.23386,0.69364,1.07934,4.9625e-05,4.9625e-05,4.9625e-05
99,3990.79,0.7853,0.38204,0.88472,0.81875,0.86711,0.81972,0.57835,1.23492,0.68824,1.07947,3.725e-05,3.725e-05,3.725e-05
100,4028.4,0.76477,0.38113,0.87735,0.82677,0.85883,0.81918,0.57916,1.23719,0.70213,1.07992,2.4875e-05,2.4875e-05,2.4875e-05
